,被试数量,样本序号,实验序号,实验处理,误差,p值
0,2,4,Exp3,horizontalMove,yIfGravityPredictError,0.8166229161938573
0,2,4,Exp3,noGravity,yIfGravityPredictError,0.0021219974888092106
0,2,5,Exp1,horizontal,Nothing,0.8238029479980469
0,2,5,Exp1,vertical,Nothing,0.04138946533203125
0,2,5,Exp2,"(0, 400)",水平误差,0.7715994975602091
0,2,5,Exp2,"(0, 800)",水平误差,0.19716301805618994
0,2,5,Exp2,"(45, 400)",水平误差,0.2981796092173539
0,2,5,Exp2,"(45, 800)",水平误差,0.10636065773995015
0,2,5,Exp2,"(90, 400)",水平误差,0.844041739245255
0,2,5,Exp2,"(90, 800)",水平误差,0.39726541393818543
0,2,5,Exp2,"(135, 400)",水平误差,0.3203601149048276
0,2,5,Exp2,"(135, 800)",水平误差,0.033284165768016585
0,2,5,Exp2,"(180, 400)",水平误差,0.8719196080722713
0,2,5,Exp2,"(180, 800)",水平误差,0.725622387466176
0,2,5,Exp2,"(225, 400)",水平误差,0.35429256076926824
0,2,5,Exp2,"(225, 800)",水平误差,0.48225751068925665
0,2,5,Exp2,"(270, 400)",水平误差,0.3948630865775039
0,2,5,Exp2,"(270, 800)",水平误差,0.30996967812164217
0,2,5,Exp2,"(315, 400)",水平误差,0.22438149161317242
0,2,5,Exp2,"(315, 800)",水平误差,0.12152054389118684
0,2,5,Exp2,"(0, 400)",垂直误差,0.6559582607547387
0,2,5,Exp2,"(0, 800)",垂直误差,0.909665529398267
0,2,5,Exp2,"(45, 400)",垂直误差,0.4206949663603604
0,2,5,Exp2,"(45, 800)",垂直误差,0.06825242391505075
0,2,5,Exp2,"(90, 400)",垂直误差,0.0
0,2,5,Exp2,"(90, 800)",垂直误差,0.5342756925610864
0,2,5,Exp2,"(135, 400)",垂直误差,0.4244298352890943
0,2,5,Exp2,"(135, 800)",垂直误差,0.024591424182175626
0,2,5,Exp2,"(180, 400)",垂直误差,0.14226962294763099
0,2,5,Exp2,"(180, 800)",垂直误差,0.4546042580002825
0,2,5,Exp2,"(225, 400)",垂直误差,0.3926530140244373
0,2,5,Exp2,"(225, 800)",垂直误差,0.3552627362014233
0,2,5,Exp2,"(270, 400)",垂直误差,0.5795605525210191
0,2,5,Exp2,"(270, 800)",垂直误差,0.8692412340886749
0,2,5,Exp2,"(315, 400)",垂直误差,0.14170062433750277
0,2,5,Exp2,"(315, 800)",垂直误差,0.2397974638772964
0,2,5,Exp2,"('斜向上', 400)",水平误差,0.789775413020007
0,2,5,Exp2,"('斜向上', 800)",水平误差,0.7136926465569124
0,2,5,Exp2,"('斜向下', 400)",水平误差,0.2246351884701097
0,2,5,Exp2,"('斜向下', 800)",水平误差,0.237863800113022
0,2,5,Exp2,"('水平', 400)",水平误差,0.9105478452507667
0,2,5,Exp2,"('水平', 800)",水平误差,0.7901500691048061
0,2,5,Exp2,"('竖直', 400)",水平误差,0.35389410862783105
0,2,5,Exp2,"('竖直', 800)",水平误差,0.09081308235831669
0,2,5,Exp2,"('斜向上', 400)",垂直误差,0.1349959118589283
0,2,5,Exp2,"('斜向上', 800)",垂直误差,0.0003181690000130914
0,2,5,Exp2,"('斜向下', 400)",垂直误差,0.040560212656416496
0,2,5,Exp2,"('斜向下', 800)",垂直误差,0.059373801771878496
0,2,5,Exp2,"('水平', 400)",垂直误差,0.13708705930803786
0,2,5,Exp2,"('水平', 800)",垂直误差,0.4246184556493615
0,2,5,Exp2,"('竖直', 400)",垂直误差,0.594698359423479
0,2,5,Exp2,"('竖直', 800)",垂直误差,0.5936487372950945
0,2,5,Exp3,gravity,xIfNoGravityPredictError,0.2579666536842856
0,2,5,Exp3,horizontalMove,xIfNoGravityPredictError,0.38785663640232304
0,2,5,Exp3,noGravity,xIfNoGravityPredictError,0.15593796683818079
0,2,5,Exp3,gravity,yIfNoGravityPredictError,0.06765808402852683
0,2,5,Exp3,horizontalMove,yIfNoGravityPredictError,0.6339710385003424
0,2,5,Exp3,noGravity,yIfNoGravityPredictError,0.9068017328609719
0,2,5,Exp3,gravity,xIfGravityPredictError,0.13193820453597918
0,2,5,Exp3,horizontalMove,xIfGravityPredictError,0.38785663640232304
0,2,5,Exp3,noGravity,xIfGravityPredictError,0.04264151729058856
